NAME,Symbol,Market Value (millions)
DANAHER CORPORATION,DHR,"$17,307.50"
"SK TELECOM CORPORATION, LTD.",SKM,"$17,203.40"
CENDANT CORPORATION,CD,"$17,148.10"
"ZIMMER HOLDINGS, INC.",ZMH,"$17,085.80"
NEWS CORPORATION LIMITED (THE),NWS,"$17,029.20"
CRH PLC,CRHCY,"$16,989.90"
"PRAXAIR, INC.",PX,"$16,979.00"
WEYERHAEUSER COMPANY,WY,"$16,968.30"
KYOCERA CORPORATION,KYO,"$16,911.70"
DEERE & COMPANY,DE,"$16,871.90"
NOVO NORDISK A/S,NVO,"$16,796.10"
STMICROELECTRONICS N.V.,STM,"$16,728.70"
GOVERNOR AND COMPANY OF THE BANK OF IRELAND (THE),IRE,"$16,711.50"
PUBLIC SERVICE ENTERPRISE GROUP INCORPORATED,PEG,"$16,659.80"
MEDCOHEALTH SOLUTIONS INC,MHS,"$16,638.80"
"MARSH & MCLENNAN COMPANIES, INC.",MMC,"$16,553.40"
TELEFONOS DE MEXICO SA DE CV SER A SPONS ADR,TMX,"$16,549.00"
FIRSTENERGY CORPORATION,FE,"$16,524.80"
"FPL GROUP, INC.",FPL,"$16,500.70"
ELECTRONIC ARTS INC.,ERTS,"$16,405.60"
LG.PHILIPS,LPL,"$16,352.20"
PUBLIC SVC ELEC & GAS CO,PEG^A,"$16,351.70"
MCKESSON CORPORATION,MCK,"$16,306.60"
PHELPS DODGE CORPORATION,PD,"$16,298.80"
ANGLOGOLD ASHANTI LTD.,AU,"$16,214.70"
"BECTON, DICKINSON AND COMPANY",BDX,"$16,088.80"
BANCO ITAU HOLDING FINANCEIRA SA (HOLDING CO),ITU,"$16,046.50"
INTERNATIONAL PAPER COMPANY,IP,"$16,005.00"
"BRITISH SKY BROADCASTING GROUP, PLC",BSY,"$15,955.30"
WOORI FINANCE HOLDINGS CO LTD,WF,"$15,894.70"
"COMPUTER ASSOCIATES INTERNATIONAL, INC.",CA,"$15,857.20"
"CLEAR CHANNEL COMMUNICATIONS, INC.",CCU,"$15,821.10"
"GAP, INC. (THE)",GPS,"$15,731.50"
"NIKE, INC.",NKE,"$15,671.20"
"FOREST LABORATORIES, INC.",FRX,"$15,633.10"
"ALLERGAN, INC.",AGN,"$15,627.30"
"WEATHERFORD INTERNATIONAL, INC.",WFT,"$15,567.10"
NATL BK GREECE ADS,NBG,"$15,552.60"
"SUN MICROSYSTEMS, INC.",SUNW,"$15,364.10"
FORD MOTOR CREDIT COMPANY,F,"$15,330.40"
KOHL'S CORPORATION,KSS,"$15,303.60"
SHINHAN FINANCIAL GROUP CO LTD,SHG,"$15,300.50"
CIGNA CORPORATION,CI,"$15,294.80"
"TRANSCANANDA PIPELINES, LTD.",TRP,"$15,226.10"
BIOGEN IDEC INC,BIIB,"$15,188.60"
REGIONS FINANCING TR I,RF,"$15,141.60"
"TPG, N.V.",TP,"$15,073.60"
